Placing Score Name DoB Country
1 12 140 |James Webb| 1987 USA
2 11 970 |Matt Fultz| 1991 USA
3 11 923 |Giuliano Cameroni| 1997 CHE
4 11 823 |Martin Stráník| 1990 CZE
5 11 820 |Ryuichi Murai| 1994 JPN
6 11 810 |Vadim Timonov| 1992 RUS
7 11 650 |Eliot Stephens| 1992 GBR
8 11 573 |Zach Galla| 2000 USA
9 11 560 |Daniel Woods| 1989 USA
10 11 553 |Stefan Scarperi| 1991 ITA
11 11 550 |Giani Clement| 1983 CHE
12 11 490 |Jesús Muñoz Chuchi| 1991 ESP
13 11 420 |Lukas Mayerhofer| 2000 AUT
14 11 406 |Nomura Shinichiro| 1997 JPN
15 11 400 |Jorge diaz-rullo| 1999 ESP
16 11 400 |Michiel Nieuwenhuijsen| 1986 NLD
17 11 350 |Toni Lamprecht| 1971 DEU
18 11 350 |Clément Lechaptois| 1993 FRA
19 11 323 |Christof Rauch| 1994 AUT
20 11 270 |Austin Purdy| 1997 USA
21 11 250 |Simone Tentori| 1998 ITA
22 11 243 |Orrin Coley| 1995 GBR
23 11 242 |Coudert Camille| 1995 FRA
24 11 240 |Moritz Welt| 2001 DEU
25 11 235 |Thilo Jeldrik Schröter| 1996 NOR
26 11 223 |Chase Martinez| 1998 USA
27 11 220 |Moritz Perwitzschky| 1999 DEU
28 11 213 |Taylor McNeill| 1991 USA
29 11 200 |Leon Fraunholz| 2000 DEU
30 11 200 |T Chen| 1996 USA
31 11 156 |Kim Marschner| 1998 DEU
32 11 150 |Nathan Phillips| 1994 GBR
33 11 140 |Nicolas Pelorson| 1997 FRA
34 11 130 |David von Allmen| 1983 CHE
35 11 126 |Stick "Brian" Nuggels| 1996 USA
36 11 108 |Makoto Yamauchi| 1994 JPN
37 11 105 |Hibiki Yamauchi| 1998 JPN
38 11 070 |Ben Burkhalter| 2001 USA
39 11 070 |Stepan Stráník| 1987 CZE
40 11 020 |Carlo Traversi| 1988 USA
41 11 020 |Diego Cameroni| 2001 CHE
42 11 008 |Everett Sloane| 2000 USA
43 11 003 |Sam Prior| 1992 GBR
44 11 000 |Rei kawamata| 2003 JPN
45 10 980 |Javier Meng| 1982 ESP
46 10 976 |Fanny Dong| 1992 USA
47 10 976 |Samuel Faulstich| 1995 DEU
48 10 961 |Tamás Zupán| 1987 HUN
49 10 956 |Danny Popowski| 1994 USA
50 10 955 |Kazuma Ise| 2002 JPN
51 10 950 |Ryosuke Hibino| 1998 JPN
52 10 950 |Luis Gerhardt| 1997 DEU
53 10 940 |Ben Blackmore| 2001 USA
54 10 940 |Nicholas Milburn| 1995 USA
55 10 923 |Bryce Viola| 1994 USA
56 10 912 |Killian Chabrier| 1999 FRA
57 10 909 |Sam McQueen| 2001 USA
58 10 906 |Sergei Topishko| 1988 UKR
59 10 903 |Liam A-Biscuit| 1997 USA
60 10 900 |Alex Puccio (f)| 1989 USA
61 10 900 |sam rothstein|   USA
62 10 900 |Max Deelen| 1998 NLD
63 10 900 |Andre Branchizio| 1988 USA
64 10 896 |Paul Steinig| 1999 DEU
65 10 895 |Nathan MICHEL| 1993 FRA
66 10 853 |Alex Waterhouse| 1997 GBR
67 10 850 |Martin Švec| 1994 CZE
68 10 826 |Jernej Kruder| 1990 SVN
69 10 816 |Lorenzo Puri| 1994 ITA
70 10 810 |Štěpán Volf| 1996 CZE
71 10 806 |Clay Gordon| 2001 USA
72 10 800 |Nico Secomandi| 1994 CHE
73 10 800 |Basti Scheibel| 1990 DEU
74 10 770 |Rowan Toselli| 1988 ZAF
75 10 770 |Isabelle Faus| 1993 USA
76 10 763 |Alex Garriga| 1998 ESP
77 10 759 |Donald Trump|   USA
78 10 750 |Rafael Passos| 1986 BRA
79 10 750 |Nicolai Užnik| 2000 AUT
80 10 729 |Jon Glassberg| 1984 USA
81 10 723 |Jonah Kreitzberg| 2000 USA
82 10 723 |Sam Enright| 1998 USA
83 10 720 |Edoardo Bocchio Vega| 1993 ITA
84 10 713 |James Noble|   GBR
85 10 706 |Antoine Girard| 2000 FRA
86 10 703 |Itai Axelrad| 1992 USA
87 10 703 |Austin Geiman| 1986 USA
88 10 702 |Eric Jerome| 1999 USA
89 10 693 |Enrico Lovato| 1993 ITA
90 10 692 |Max Zolotukhin| 1986 USA
91 10 672 |Brennan Robinson| 1997 USA
92 10 659 |Maël Bonzom| 1995 FRA
93 10 656 |Philipp Gaßner| 2000 DEU
94 10 656 |Levier Alban| 1994 FRA
95 10 655 |Eric Sanchez| 1992 USA
96 10 653 |Luis Serrano| 1983 ESP
97 10 628 |Jordan Pace|   USA
98 10 606 |Giulio Feletto| 1997 ITA
99 10 603 |Kuba Jodlowski| 1987 POL
100 10 600 |Kyle Howard| 1992 USA
